Bezirks-Nr.;Bezirkbezeichnung;BFS;Gemeinde;Glas;Metalle;Altoel;Total_Glas_Metalle_Altoel;Jahr_Datum;Jahr;Gesamtsteuerfuss_ohne_Kirchen;Durchschnitt_Steuerfuss_ueber_alle_Jahre;ANZAHL_PERSONEN_TOTAL;Glas_pro_Kopf;Metalle_pro_Kopf;Altoel_pro_Kopf;Total_Glas_Metalle_altoel_pro_kopf;Glas_pro_Kopf_durchschnitt;Metalle_pro_Kopf_durchschnitt;altoel_pro_Kopf_durchschnitt;total_pro_kopf_durchschnitt;Steuerfuss_aenderung;Steuerfuss_aenderung_prozentual;Glas_pro_Kopf_aenderung;Glas_pro_Kopf_aenderung_prozent;Metalle_pro_Kopf_aenderung;Metalle_pro_Kopf_aenderung_prozent;Altoel_pro_Kopf_aenderung;Altoel_pro_Kopf_aenderung_prozent;Total_Glas_Metalle_altoel_pro_kopf_aenderung;Total_Glas_Metalle_altoel_pro_kopf_aenderung_prozent
3; Buelach ;55; Eglisau ;154;59;3;217;01.01.2013;2013;113;;4934;0.031211998;0.011957844;0.000608026;0.043980543;;;;;;;;;;;;;;
3; Buelach ;55; Eglisau ;152;59;0;211;01.01.2014;2014;113;;4961;0.030638984;0.011892764;0;0.042531748;;;;;;;;;;;;;;
3; Buelach ;55; Eglisau ;153;63;2;218;01.01.2015;2015;113;;5021;0.030472018;0.012547301;0.000398327;0.043417646;;;;;;;;;;;;;;
3; Buelach ;55; Eglisau ;173;69;2;244;01.01.2016;2016;117;;5148;0.033605284;0.013403263;0.0003885;0.047397047;;;;;;;;;;;;;;
3; Buelach ;55; Eglisau ;170;69;2;241;01.01.2017;2017;113;;5170;0.032882012;0.013346228;0.000386847;0.046615087;;;;;;;;;;;;;;
3; Buelach ;55; Eglisau ;185;64;2;251;01.01.2018;2018;113;;5207;0.035529095;0.012291147;0.000384098;0.04820434;;;;;;;;;;;;;;
11; Winterthur ;294; Elgg ;105;61;2;168;01.01.2019;2019;117;118.87875;4935;0.021276596;0.012360689;0.000405268;0.034042553;0.025137898;0.013275351;0.000444831;0.038884732;0.97;0.84%;-0.00775066;-26.70%;-0.00204215;-14.18%;0.00018369;82.90%;-0.00960912;-22.01%
11; Winterthur ;294; Elgg ;131;65;1;197;01.01.2012;2012;116.03;;4513;0.029027255;0.014402836;0.000221582;0.043651673;;;;;;;;;;;;;;
11; Winterthur ;294; Elgg ;133;60;3;196;01.01.2013;2013;116;;4595;0.028944505;0.013057671;0.000652884;0.04265506;;;;;;;;;;;;;;
11; Winterthur ;294; Elgg ;122;74;1;197;01.01.2014;2014;118;;4627;0.026366976;0.015993084;0.000216123;0.042576183;;;;;;;;;;;;;;
11; Winterthur ;294; Elgg ;126;61;2;190;01.01.2015;2015;121;;4690;0.026865672;0.013006397;0.000426439;0.040511727;;;;;;;;;;;;;;
11; Winterthur ;294; Elgg ;118;61;1;180;01.01.2016;2016;121;;4807;0.024547535;0.012689827;0.00020803;0.037445392;;;;;;;;;;;;;;
11; Winterthur ;294; Elgg ;120;56;4;180;01.01.2017;2017;121;;4903;0.024474811;0.011421579;0.000815827;0.036712217;;;;;;;;;;;;;;
11; Winterthur ;294; Elgg ;96;65;3;164;01.01.2018;2018;121;;4898;0.019599837;0.013270723;0.000612495;0.033483054;;;;;;;;;;;;;;
11; Winterthur ;218; Ellikon a.d.Th. ;25;3;0;28;01.01.2019;2019;121;114.875;901;0.027746948;0.003329634;0;0.031076582;0.028758579;0.00403399;0.000276855;0.033207851;9;8.04%;-0.00069944;-2.46%;0.00114145;52.16%;0;#DIV/0!;0.00044201;1.44%
11; Winterthur ;218; Ellikon a.d.Th. ;26;2;0;28;01.01.2012;2012;112;;914;0.028446389;0.002188184;0;0.030634573;;;;;;;;;;;;;;
11; Winterthur ;218; Ellikon a.d.Th. ;27;4;0;31;01.01.2013;2013;112;;903;0.029900332;0.004429679;0;0.034330011;;;;;;;;;;;;;;
11; Winterthur ;218; Ellikon a.d.Th. ;26;4;0;30;01.01.2014;2014;112;;907;0.028665932;0.004410143;0;0.033076075;;;;;;;;;;;;;;
11; Winterthur ;218; Ellikon a.d.Th. ;26;4;0;30;01.01.2015;2015;112;;885;0.029378531;0.004519774;0;0.033898305;;;;;;;;;;;;;;
11; Winterthur ;218; Ellikon a.d.Th. ;25;4;0;29;01.01.2016;2016;112;;882;0.028344671;0.004535147;0;0.032879819;;;;;;;;;;;;;;
11; Winterthur ;218; Ellikon a.d.Th. ;25;4;0;30;01.01.2017;2017;119;;903;0.027685493;0.004429679;0;0.033222591;;;;;;;;;;;;;;
11; Winterthur ;218; Ellikon a.d.Th. ;27;4;2;33;01.01.2018;2018;119;;903;0.029900332;0.004429679;0.002214839;0.03654485;;;;;;;;;;;;;;
11; Winterthur ;219; Elsau ;65;24;1;90;01.01.2019;2019;121;119.5;3645;0.017832647;0.006584362;0.000274348;0.024691358;0.018995705;0.00733594;0.000466816;0.026871096;7;6.14%;-0.00335506;-15.83%;0.00031758;5.07%;-0.00062091;-69.36%;-0.00365839;-12.90%
11; Winterthur ;219; Elsau ;71;21;3;95;01.01.2012;2012;114;;3351;0.021187705;0.006266786;0.000895255;0.028349746;;;;;;;;;;;;;;
11; Winterthur ;219; Elsau ;69;16;2;88;01.01.2013;2013;116;;3420;0.020175439;0.004678363;0.000584795;0.025730994;;;;;;;;;;;;;;
11; Winterthur ;219; Elsau ;68;26;1;96;01.01.2014;2014;121;;3464;0.019630485;0.007505774;0.000288684;0.027713626;;;;;;;;;;;;;;
11; Winterthur ;219; Elsau ;66;30;2;98;01.01.2015;2015;121;;3477;0.018981881;0.008628128;0.000575209;0.028185217;;;;;;;;;;;;;;
11; Winterthur ;219; Elsau ;65;33;2;100;01.01.2016;2016;121;;3533;0.018397962;0.009340504;0.000566091;0.028304557;;;;;;;;;;;;;;
11; Winterthur ;219; Elsau ;65;30;1;96;01.01.2017;2017;121;;3616;0.017975664;0.00829646;0.000276549;0.026548673;;;;;;;;;;;;;;
11; Winterthur ;219; Elsau ;65;27;1;93;01.01.2018;2018;121;;3655;0.017783858;0.007387141;0.000273598;0.025444596;;;;;;;;;;;;;;
3; Buelach ;56; Embrach ;354;43;1;398;01.01.2019;2019;118;118;9410;0.037619554;0.004569607;0.00010627;0.04229543;0.038048129;0.006610443;0.000258837;0.044917409;0;0.00%;0.00107359;2.94%;-0.00166995;-26.76%;-0.00022799;-68.21%;-0.00082435;-1.91%
3; Buelach ;56; Embrach ;328;56;3;387;01.01.2012;2012;118;;8975;0.036545961;0.006239554;0.000334262;0.043119777;;;;;;;;;;;;;;
3; Buelach ;56; Embrach ;341;54;2;397;01.01.2013;2013;118;;8926;0.038203002;0.006049742;0.000224065;0.044476809;;;;;;;;;;;;;;
3; Buelach ;56; Embrach ;344;52;2;398;01.01.2014;2014;118;;9084;0.03786878;0.005724351;0.000220167;0.043813298;;;;;;;;;;;;;;
