Bezirks-Nr.;Bezirkbezeichnung;BFS;Gemeinde;Glas;Metalle;Altoel;Total_Glas_Metalle_Altoel;Jahr_Datum;Jahr;Gesamtsteuerfuss_ohne_Kirchen;Durchschnitt_Steuerfuss_ueber_alle_Jahre;ANZAHL_PERSONEN_TOTAL;Glas_pro_Kopf;Metalle_pro_Kopf;Altoel_pro_Kopf;Total_Glas_Metalle_altoel_pro_kopf;Glas_pro_Kopf_durchschnitt;Metalle_pro_Kopf_durchschnitt;altoel_pro_Kopf_durchschnitt;total_pro_kopf_durchschnitt;Steuerfuss_aenderung;Steuerfuss_aenderung_prozentual;Glas_pro_Kopf_aenderung;Glas_pro_Kopf_aenderung_prozent;Metalle_pro_Kopf_aenderung;Metalle_pro_Kopf_aenderung_prozent;Altoel_pro_Kopf_aenderung;Altoel_pro_Kopf_aenderung_prozent;Total_Glas_Metalle_altoel_pro_kopf_aenderung;Total_Glas_Metalle_altoel_pro_kopf_aenderung_prozent
10; Uster ;197; Schwerzenbach ;114;21;3;138;01.01.2014;2014;96;;5003;0.022786328;0.004197482;0.00059964;0.02758345;;;;;;;;;;;;;;
10; Uster ;197; Schwerzenbach ;107;17;3;127;01.01.2015;2015;99;;5020;0.021314741;0.003386454;0.00059761;0.025298805;;;;;;;;;;;;;;
10; Uster ;197; Schwerzenbach ;103;14;2;118;01.01.2016;2016;103;;5072;0.020307571;0.002760252;0.000394322;0.023264984;;;;;;;;;;;;;;
10; Uster ;197; Schwerzenbach ;98;14;3;114;01.01.2017;2017;103;;5088;0.019261006;0.002751572;0.000589623;0.02240566;;;;;;;;;;;;;;
10; Uster ;197; Schwerzenbach ;91;16;2;109;01.01.2018;2018;103;;5108;0.017815192;0.003132341;0.000391543;0.021339076;;;;;;;;;;;;;;
6; Hinwil ;119; Seegraeben ;31;5;0;36;01.01.2019;2019;113;114.75;1426;0.02173913;0.003506311;0;0.025245442;0.022909012;0.006052269;0.000364006;0.029406107;-4;-3.42%;-0.00274442;-11.21%;-0.00644013;-64.75%;-0.00076511;-100.00%;-0.00918455;-26.68%
6; Hinwil ;119; Seegraeben ;32;13;1;45;01.01.2012;2012;117;;1307;0.02448355;0.009946442;0.000765111;0.034429992;;;;;;;;;;;;;;
6; Hinwil ;119; Seegraeben ;36;12;1;49;01.01.2013;2013;117;;1332;0.027027027;0.009009009;0.000750751;0.036786787;;;;;;;;;;;;;;
6; Hinwil ;119; Seegraeben ;31;8;0;40;01.01.2014;2014;117;;1399;0.022158685;0.00571837;0;0.028591851;;;;;;;;;;;;;;
6; Hinwil ;119; Seegraeben ;31;6;0;38;01.01.2015;2015;115;;1435;0.021602787;0.004181185;0;0.026480836;;;;;;;;;;;;;;
